Year,Site,Species,Count,Avg_Length_mm,Avg_RecFin_weight_kg
2021,NEAH BAY,YELLOWTAIL ROCKFISH,16,35.75,0.75375
2021,SEIKU,ARROWTOOTH FLOUNDER,4,63.5,#DIV/0!
2021,SEIKU,BLACK ROCKFISH,548,40.55109489,1.172116788
2021,SEIKU,BOCACCIO,28,64.17857143,3.537857143
2021,SEIKU,CABEZON,117,52.53846154,2.73982906
2021,SEIKU,CANARY ROCKFISH,195,39.21025641,1.169128205
2021,SEIKU,CHINA ROCKFISH,95,33.43157895,0.785157895
2021,SEIKU,COPPER ROCKFISH,151,39.51655629,1.246357616
2021,SEIKU,DEACON ROCKFISH,142,33.02816901,0.687183099
2021,SEIKU,GREAT SCULPIN,1,49,#DIV/0!
2021,SEIKU,KELP GREENLING,119,36.01680672,0.681176471
2021,SEIKU,LINGCOD,434,66.58986175,3.321336406
2021,SEIKU,NOT KNOWN,7,32.85714286,#DIV/0!
2021,SEIKU,PACIFIC COD,40,63.225,2.7485
2021,SEIKU,PETRALE SOLE,3,54.33333333,2.02
2021,SEIKU,QUILLBACK ROCKFISH,45,39.06666667,1.27
2021,SEIKU,RED IRISH LORD,3,40.33333333,1.353333333
2021,SEIKU,REDBANDED ROCKFISH,2,61.5,#DIV/0!
2021,SEIKU,ROCK GREENLING,1,36,0.68
2021,SEIKU,ROCK SOLE,3,43,0.95
2021,SEIKU,SABLEFISH,6,58.16666667,2.19
2021,SEIKU,SILVERGRAY ROCKFISH,6,56.83333333,2.413333333
2021,SEIKU,STRIPED SEAPERCH,1,32,0.78
2021,SEIKU,TIGER ROCKFISH,18,37,1.007777778
2021,SEIKU,VERMILION ROCKFISH,81,46.18518519,1.948888889
2021,SEIKU,YELLOWEYE ROCKFISH,35,42.97142857,1.669428571
2021,SEIKU,YELLOWTAIL ROCKFISH,80,38.4375,0.99525
2022,NEAH BAY,ARROWTOOTH FLOUNDER,6,59,#DIV/0!
2022,NEAH BAY,BLACK ROCKFISH,601,40.68666667,1.179516667
2022,NEAH BAY,BLUE ROCKFISH,54,31.7962963,0.607962963
2022,NEAH BAY,BOCACCIO,88,62.89772727,3.210568182
2022,NEAH BAY,CABEZON,342,51.90643275,2.658128655
2022,NEAH BAY,CANARY ROCKFISH,226,41.73893805,1.42659292
2022,NEAH BAY,CHINA ROCKFISH,138,33.80740741,0.810740741
2022,NEAH BAY,COPPER ROCKFISH,187,39.41176471,1.23197861
2022,NEAH BAY,DEACON ROCKFISH,294,34.05802048,0.728395904
2022,NEAH BAY,GREENSTRIPED ROCKFISH,6,35,0.583333333
2022,NEAH BAY,JACK MACKEREL,28,50.42857143,1.492857143
2022,NEAH BAY,KELP GREENLING,208,36.73076923,0.717596154
2022,NEAH BAY,LINGCOD,429,65.15617716,3.122517483
2022,NEAH BAY,NOT KNOWN,13,33.15384615,#DIV/0!
2022,NEAH BAY,PACIFIC COD,35,65.02857143,3.027142857
2022,NEAH BAY,PETRALE SOLE,10,47.5,1.352
2022,NEAH BAY,QUILLBACK ROCKFISH,72,38.80555556,1.2675
2022,NEAH BAY,RED IRISH LORD,4,39.5,1.27
2022,NEAH BAY,REDBANDED ROCKFISH,3,50.66666667,#DIV/0!
2022,NEAH BAY,REDSTRIPE ROCKFISH,1,37,0.73
2022,NEAH BAY,ROCK GREENLING,1,37,0.74
2022,NEAH BAY,ROCK SOLE,3,42.33333333,0.886666667
2022,NEAH BAY,SABLEFISH,63,55.66666667,1.947777778
2022,NEAH BAY,SILVERGRAY ROCKFISH,21,55.95238095,2.314761905
2022,NEAH BAY,TIGER ROCKFISH,26,36.88461538,0.987307692
2022,NEAH BAY,VERMILION ROCKFISH,68,46.04411765,1.905735294
2022,NEAH BAY,WIDOW ROCKFISH,7,35.85714286,0.73
2022,NEAH BAY,YELLOWEYE ROCKFISH,10,44.6,1.885
2022,NEAH BAY,YELLOWTAIL ROCKFISH,141,42.22695035,1.279503546
